Key,Oat Fodder General,Fodder beet Fodder General,Swede Fodder General,Rape Fodder General,Kale Fodder General,Turnip Fodder Bulb,Turnip Fodder Leafy,Barley Fodder General,Annual ryegrass Fodder General,Rye corn Fodder General,Wheat Fodder General,Triticale Fodder General,Maize Fodder General,Oat Grain General,Canola Grain General,Hemp Grain General,Chickpea Grain General,Sunflower Grain General,Barley Grain General,Lentil Grain General,Linseed Grain General,Bean Grain General,Pea Grain General,Wheat Grain Breed,Wheat Grain Feed,Maize Grain General,Red beet Seed General,Rape Seed General,Pak choi Seed General,Cocksfoot Seed General,Carrot Seed General,Ryegrass Seed General,Radish Seed Open pollinated,White clover Seed General,Leek Vegetable General,Onion Vegetable Brown,Onion Vegetable Red,Onion Vegetable Shallot,Spring onion Vegetable General,Garlic Vegetable General,Celery Vegetable General,Silver beet Vegetable General,Red beet Vegetable General,Cauliflower Vegetable General,Cabbage Vegetable General,Brussel sprout  Vegetable General,Broccoli Vegetable Head only,Broccoli Vegetable Chinese cut,Pak choi Vegetable General,Choy sum Vegetable General,Wong bok Vegetable General,Coriander Vegetable General,Water melon Vegetable General,Rock melon Vegetable General,Squash Vegetable General,Pumpkin Vegetable General,Zucchini Vegetable General,Carrot Vegetable General,Kumara Vegetable General,Lettuce Vegetable Ice berg,Lettuce Vegetable Leafy-salad,Parsnip Vegetable General,Bean Vegetable General,Pea Vegetable General,Tomato Vegetable General,Potato Vegetable General,Spinach Vegetable General,Broad bean Vegetable General,Sweetcorn Vegetable General
Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Typical Yield,10,20,12,6,12,8,6,8,5,8,8,12,17.5,6,4,1.15,4,3,8,3.5,2.5,3.5,3.5,10,12,13.3,1.2,4,1.3,1,0.7,2.07,1.8,0.6,63,70,80,60,60,50,60,156,55,40,60,15,10,20,45,40,53,20,180,80,25,40,40,70,50,50,40,44,18,9.5,100,64,22,11,22
Typical Dressing Loss %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,10,0,15,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Typical Field Loss %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Typical HI,0.95,0.8895,0.834,0.778,0.58,0.872,0.49,0.95,0.95,0.95,0.95,0.95,0.95,0.4,0.27,0.1,0.3,0.3,0.463,0.5,0.208333333,0.5,0.3,0.4117,0.4117,0.5,0.17,0.33,0.245,0.09,0.12,0.2035,0.178,0.15,0.9,0.8,0.8,0.8,1,0.8,0.85,0.8,0.815,0.4,0.7,0.4,0.13,0.26,0.63,0.85,0.8,1,0.85,0.7,0.8,0.8,0.4,0.9,0.89,0.7,0.8,0.95,0.44,0.34,0.5,0.9,0.7,0.3,0.48
HI Range,0,-0.1105,-0.156,-0.122,-0.32,-0.128,-0.21,0,0,0,0,0,0,0.1,0.013,0.05,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.07,0.08,0.14,0.03,0.08,0.1035,0.108,0.09,0,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.07,0.08,0,0.06,0,0.05,0.02
Moisture %,80,17,12,10,13,10,17,80,80,80,80,80,33,13,9,9,15,8,13,14,9,14,14,13,13,13,15,10,8,15,15,14,10,14,89,89,90,90,95,90,88,93,86,93,90,80,89,89,96,90,90,95,95,95,80,88,95,88,77.4,95,95,83,89,73,95,77.7,92,76,78
P Root,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Max RD,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,0.9,1.5,1.5,1.5,1.5,1.5,1.2,1.5,1,1.5,1.2,1,1,1,0.7,1.5,1.5,1.5,1.5,1.2,1.2,1,1.2,0.9,1.2,0.9,0.6,0.6,0.6,0.6,0.6,0.6,1.2,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.8,0.8,0.8,0.8,0.8,1.2,0.9,1,1,1.2,1,0.7,0.6,0.6,1.5,1,1.5
A cover,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,1,1,1,0.85,0.85,1,0.85,1,0.85,1,0.85,1,0.75,0.8,0.8,0.8,0.75,0.7,1,0.76,0.95,1,1,1,1,1,0.8,0.9,0.9,0.9,1,1,0.94,1,0.85,0.9,1,0.95,0.9,0.95,0.9,1,1,1,0.8,0.9,0.75
rCover,1,1,2,2,2,2,2,1,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0.8,1.6,1.5,0.8,0.7,1.5,1.1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,1,0.8,2,2,2,2,2,1.5,2,2,0.8,1,1,1,1,1,0.7,1,1,1,0.8,1,1,1.2,1.2,1,1,1
Root [N],0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1,1.5,0.9,0.9,1.5,1,1.5,1.5,0.9,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.8,1.5,1,1,1,1,1,1,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1,1,1,0.9,1,0.9,0.9,0.9,1.5,1.5,0.9,0.9,0.8,1.5,0.9
Stover [N],0.5,1.5,0.6,1,1,0.6,1.5,0.5,1,0.5,0.5,0.5,0.7,0.5,1.15,1,1.6,1.3,0.5,1.6,1,1.6,1.6,0.5,0.5,0.7,1.8,1.8,1.1,1.2,1.2,1.1,1.6,4,3.5,2,2,2,2.2,2,2.5,2.5,2,3.8,3,3.8,3.8,3.6,4.5,4.5,3,4.7,2,2,2,1.4,3.8,2,2,3,3,2,2.5,2.1,2,2,4,1.7,0.9
Product [N],1.3,1,2.5,3,3,2.5,3.5,1.3,2.5,1.3,1.3,1.3,1.4,1.3,3.22,4,4.7,2.4,1.2,3.5,4.3,3.5,4.7,1.5,1.2,1.4,2.1,5,3.2,2,3.4,2,4.5,3,2,1.4,1.4,1.4,2.2,1.4,2.5,3,1.5,3.5,2.6,3.5,3.5,3.6,4.8,4.8,3,4.7,2,2,2,2,3.2,1,1.8,2.6,3.5,1.35,2.8,4,2,1.8,4.5,4.4,1.4
